county,c_vec
 County,0.4057771243207156
Alameda County,80.04370050672833
Alpine County,0.0
Amador County,0.14714967343002527
Butte County,0.10912324938029166
Calaveras County,8.182482481675983
Clark County,0.0
Colusa County,2.5987543719178356
Contra Costa County,112.19296427435631
El Dorado County,21.192582928069832
Esmeralda County,0.0
Fresno County,53.20178241273617
Glenn County,2.657104173906345
Humboldt County,2.690273041357303
Imperial County,144.32831802128555
Inyo County,2.101867109429626
Josephine County,0.0
Kern County,178.07393816681932
Kings County,8.367805384590442e-10
Klamath County,0.0
La Paz County,1.954946749861087
Lake County,2.49772015568132
Lassen County,0.23688060617681164
Los Angeles County,565.4279162255555
Madera County,0.9196769548033756
Maricopa County,0.0
Marin County,0.0
Mariposa County,0.0
Mendocino County,4.100706346867101
Merced County,47.17067329065902
Modoc County,0.0
Mono County,1.3959029278840063
Monterey County,99.96853611232467
Municipio de Mexicali County,0.20265706749719614
Municipio de Tijuana County,1.0889229735324029
Napa County,32.75234345784362
Nevada County,0.0
Orange County,15.354815044985836
Placer County,0.0
Plumas County,0.0
Riverside County,166.24022692072217
Sacramento County,179.25659048190485
San Benito County,52.7385673286948
San Bernardino County,237.4366661879867
San Diego County,247.7515846337224
San Francisco County,0.0
San Joaquin County,96.52735872215277
San Luis Obispo County,4.077091211966078e-08
San Mateo County,0.0
Santa Barbara County,1.154079900919266
Santa Clara County,150.8570943144083
Santa Cruz County,0.0
Shasta County,14.452836557944535
Sierra County,0.0
Siskiyou County,6.621735304351137
Solano County,34.38858981099777
Sonoma County,20.80314829817364
Stanislaus County,80.18742694658332
Sutter County,0.0
Tehama County,1.9787472729539655
Trinity County,2.776897686728168
Tulare County,27.827520339826304
Tuolumne County,31.707119616494435
Ventura County,30.8869134738018
Yolo County,1.4617993333120118
Yuba County,0.0
Yuma County,1.3094427645098716
