county,l_ren
 County,0.0
Alameda County,1255.3378095266894
Alpine County,20.1994045
Amador County,35.34147361
Butte County,151.301410875
Calaveras County,10.5934314
Clark County,0.0
Colusa County,31.20246945
Contra Costa County,929.6391189271693
El Dorado County,64.1431688165938
Esmeralda County,4.139267603876474
Fresno County,573.5344978445212
Glenn County,40.75102260133301
Humboldt County,69.2762041521779
Imperial County,77.9573823836106
Inyo County,91.61488137205001
Josephine County,0.0
Kern County,695.2191743207312
Kings County,132.613511075
Klamath County,0.0
La Paz County,0.0
Lake County,49.5859247353397
Lassen County,48.714962717984555
Los Angeles County,6331.1135606906755
Madera County,85.10722772
Maricopa County,0.0
Marin County,200.85156012
Mariposa County,9.66633856
Mendocino County,60.91445747169461
Merced County,150.13636863151683
Modoc County,17.673631378
Mono County,4.932911920708024
Monterey County,238.87270344561009
Municipio de Mexicali County,6.00329891
Municipio de Tijuana County,20.4136099
Napa County,107.51770871893214
Nevada County,25.59992714
Orange County,1818.8806512405386
Placer County,251.393395825
Plumas County,27.098808663
Riverside County,952.8992494773368
Sacramento County,732.8431437799035
San Benito County,4.24438678
San Bernardino County,1201.8374684172031
San Diego County,2033.649498039149
San Francisco County,459.66282714000005
San Joaquin County,714.241978429217
San Luis Obispo County,94.36206676873586
San Mateo County,584.630805984
Santa Barbara County,219.0252667454757
Santa Clara County,1592.9067105111408
Santa Cruz County,180.6123281
Shasta County,79.57658806112244
Sierra County,10.694981219999999
Siskiyou County,58.89326823
Solano County,335.3588506847581
Sonoma County,291.31144890653934
Stanislaus County,438.861766355134
Sutter County,81.55877229
Tehama County,44.52360845757668
Trinity County,17.513916309016537
Tulare County,292.5181248324546
Tuolumne County,45.256168915
Ventura County,606.0318413590902
Yolo County,162.111413674
Yuba County,61.758096959999996
Yuma County,3.48685379
