county,carb_emit
 County,0.0
Alameda County,4.997636333624046
Alpine County,0.0
Amador County,0.0
Butte County,0.0
Calaveras County,0.0
Clark County,0.0
Colusa County,0.0
Contra Costa County,9.216725102361744
El Dorado County,1.9009161713032663
Esmeralda County,0.022967748335261717
Fresno County,5.186326182774609
Glenn County,0.09987574466093632
Humboldt County,0.36066114935764365
Imperial County,1.2676186621239645
Inyo County,0.3383046687438701
Josephine County,0.0
Kern County,20.401185022369134
Kings County,0.0
Klamath County,0.0
La Paz County,0.045130064320392564
Lake County,0.3377497118233361
Lassen County,0.026242650404910195
Los Angeles County,29.956014188358804
Madera County,0.0
Maricopa County,0.0
Marin County,0.0
Mariposa County,0.0
Mendocino County,0.47062191256940933
Merced County,3.0399507487295745
Modoc County,0.0
Mono County,0.016518560750007263
Monterey County,5.272913482989248
Municipio de Mexicali County,0.0
Municipio de Tijuana County,0.0
Napa County,1.481745187059593
Nevada County,0.0
Orange County,1.511502124471766
Placer County,0.0
Plumas County,0.0
Riverside County,14.295299549676301
Sacramento County,16.853893563813
San Benito County,4.451524166218457
San Bernardino County,15.692407942487005
San Diego County,11.641594504560674
San Francisco County,0.0
San Joaquin County,7.432584064190765
San Luis Obispo County,0.0
San Mateo County,0.0
Santa Barbara County,0.0
Santa Clara County,6.9924866926393685
Santa Cruz County,0.0
Shasta County,0.9011909042109926
Sierra County,0.0
Siskiyou County,0.0
Solano County,2.575097340097396
Sonoma County,2.082226718999882
Stanislaus County,6.2245532886752315
Sutter County,0.0
Tehama County,0.25221659357303666
Trinity County,0.24622901773301684
Tulare County,2.996444411520428
Tuolumne County,0.0
Ventura County,1.276948465908053
Yolo County,0.0
Yuba County,0.0
Yuma County,0.0
