county,c_vec
 County,0.0
Alameda County,49.281538972443876
Alpine County,0.0
Amador County,0.0
Butte County,0.14598582675201285
Calaveras County,0.0
Clark County,0.0
Colusa County,1.7498745347360292
Contra Costa County,84.01235738288773
El Dorado County,14.629860262899033
Esmeralda County,0.07818524136886651
Fresno County,28.127720784830867
Glenn County,2.151702193048302
Humboldt County,3.3678994514866245
Imperial County,53.601238816919285
Inyo County,3.6734488292911647
Josephine County,0.0
Kern County,285.6931668219597
Kings County,0.32152806581450266
Klamath County,0.0
La Paz County,0.6447522819577313
Lake County,2.3078981772754457
Lassen County,0.23688060601301875
Los Angeles County,348.8673732075258
Madera County,0.0
Maricopa County,0.0
Marin County,0.20653153124191048
Mariposa County,0.0
Mendocino County,3.7414896530399187
Merced County,35.33898678996209
Modoc County,0.0
Mono County,0.6712545745645156
Monterey County,83.69908379533202
Municipio de Mexicali County,0.1973969202420494
Municipio de Tijuana County,0.0
Napa County,25.137451437198912
Nevada County,0.0
Orange County,16.095648226333942
Placer County,0.0
Plumas County,0.0
Riverside County,146.70544276280003
Sacramento County,170.8488365645617
San Benito County,44.76731303316149
San Bernardino County,212.09222203315832
San Diego County,188.57042063670238
San Francisco County,0.0
San Joaquin County,108.99273147021708
San Luis Obispo County,0.0
San Mateo County,0.0
Santa Barbara County,0.0
Santa Clara County,108.81048545908614
Santa Cruz County,0.0
Shasta County,15.610035267849172
Sierra County,0.0
Siskiyou County,0.0
Solano County,27.00041812750444
Sonoma County,13.448170751886588
Stanislaus County,56.87049859172237
Sutter County,0.0
Tehama County,2.6401338014060833
Trinity County,3.5054347800746157
Tulare County,20.77255031666934
Tuolumne County,0.0
Ventura County,20.50214765479161
Yolo County,0.9843044248650855
Yuba County,0.0
Yuma County,0.0
