county,c_vec
 County,0.7964511229370439
Alameda County,69.24061286470203
Alpine County,0.0
Amador County,0.0
Butte County,0.1527409271197412
Calaveras County,0.0
Clark County,0.0
Colusa County,29.34704467302733
Contra Costa County,187.55418221038624
El Dorado County,24.311273839893126
Esmeralda County,0.07873892780765843
Fresno County,56.710393479296975
Glenn County,24.608178430687662
Humboldt County,4.035725655242647
Imperial County,166.0330773201391
Inyo County,3.786765050732259
Josephine County,0.0
Kern County,283.7082768808561
Kings County,5.042092678237495
Klamath County,0.0
La Paz County,2.575395252039363
Lake County,2.540232189641689
Lassen County,0.23688060731540977
Los Angeles County,690.4323816813964
Madera County,0.0
Maricopa County,0.0
Marin County,0.0
Mariposa County,0.0
Mendocino County,4.588848226858358
Merced County,38.91178692952479
Modoc County,0.0
Mono County,0.6465791756277478
Monterey County,138.07830276035136
Municipio de Mexicali County,0.2654928523541117
Municipio de Tijuana County,3.4779218804625835
Napa County,0.3249873259780114
Nevada County,0.0
Orange County,32.25155045579021
Placer County,0.0
Plumas County,0.0
Riverside County,151.0191767028582
Sacramento County,184.09576054841563
San Benito County,45.21882573503345
San Bernardino County,357.7663711093684
San Diego County,274.8669427064064
San Francisco County,0.0
San Joaquin County,167.43118619860988
San Luis Obispo County,1.0375659181769978
San Mateo County,0.0
Santa Barbara County,5.717208032434546
Santa Clara County,193.863964345315
Santa Cruz County,0.0
Shasta County,19.459895179374765
Sierra County,0.0
Siskiyou County,0.0
Solano County,22.97668177723749
Sonoma County,8.962268307728854
Stanislaus County,85.73499562354112
Sutter County,1.3938422514598512
Tehama County,2.745616046780822
Trinity County,3.9198983390631823
Tulare County,31.919562488072632
Tuolumne County,0.0
Ventura County,36.4071522050513
Yolo County,16.507712619849116
Yuba County,0.0
Yuma County,2.1755913001783536
