county,carb_emit
 County,0.0
Alameda County,10.538864205731437
Alpine County,0.0
Amador County,0.0
Butte County,0.0
Calaveras County,0.0
Clark County,0.0
Colusa County,0.0
Contra Costa County,36.062471730792645
El Dorado County,0.6868233913801949
Esmeralda County,0.0
Fresno County,19.78142512707356
Glenn County,1.8310851881912633
Humboldt County,0.7819577309631014
Imperial County,3.9026111427187247
Inyo County,0.2756385607358152
Josephine County,0.0
Kern County,70.93315330980798
Kings County,2.8895856715364765
Klamath County,0.0
La Paz County,0.36896967570126515
Lake County,1.0666890081761156
Lassen County,0.027368309409166548
Los Angeles County,78.67276737320215
Madera County,0.0
Maricopa County,0.0
Marin County,0.0
Mariposa County,0.0
Mendocino County,0.0
Merced County,4.866674848206618
Modoc County,0.0
Mono County,0.05055509807552204
Monterey County,15.62460713300987
Municipio de Mexicali County,0.0
Municipio de Tijuana County,2.983151371314898
Napa County,0.0
Nevada County,0.0
Orange County,2.076647852803088
Placer County,0.0
Plumas County,0.0
Riverside County,26.41832277098026
Sacramento County,26.847142764868003
San Benito County,7.820443950840724
San Bernardino County,54.95230963487738
San Diego County,19.63534718066514
San Francisco County,0.0
San Joaquin County,15.332394055605892
San Luis Obispo County,0.028191853952841118
San Mateo County,0.0
Santa Barbara County,4.4420564373324165
Santa Clara County,27.353876033527587
Santa Cruz County,0.0
Shasta County,1.5235447296951927
Sierra County,0.0
Siskiyou County,0.0
Solano County,19.17088477866963
Sonoma County,1.3237099193684339
Stanislaus County,17.200446065338664
Sutter County,1.524109638682675
Tehama County,0.4564178953799634
Trinity County,0.5600144065845291
Tulare County,7.08166676833086
Tuolumne County,0.0
Ventura County,5.70857244515251
Yolo County,0.0
Yuba County,0.0
Yuma County,0.0
