county,l_ren
 County,0.0
Alameda County,1525.5959740605863
Alpine County,24.5923516
Amador County,43.02750348
Butte County,184.20629702
Calaveras County,12.897280780000001
Clark County,0.0
Colusa County,37.98835253
Contra Costa County,1096.2460517978814
El Dorado County,83.25150870565065
Esmeralda County,5.016787434312372
Fresno County,682.5008583355598
Glenn County,46.54671807793335
Humboldt County,85.24637009367055
Imperial County,90.66391689986897
Inyo County,109.73985671695179
Josephine County,0.0
Kern County,826.8412964992867
Kings County,153.40041532
Klamath County,0.0
La Paz County,0.0
Lake County,53.57780983862045
Lassen County,59.60509129269783
Los Angeles County,7666.572461253361
Madera County,103.6162664
Maricopa County,0.0
Marin County,244.53256565
Mariposa County,11.76856464
Mendocino County,86.58466606
Merced County,184.02599815409886
Modoc County,21.51727597
Mono County,6.11136001074197
Monterey County,279.585795791742
Municipio de Mexicali County,7.3088906
Municipio de Tijuana County,19.323632591552716
Napa County,137.01139244
Nevada County,31.16737481
Orange County,2215.712432932311
Placer County,306.066191081
Plumas County,32.99223169
Riverside County,1150.1314235989648
Sacramento County,905.8472568952615
San Benito County,5.620708390759786
San Bernardino County,1456.7886935634808
San Diego County,2478.8760891367883
San Francisco County,559.62985818
San Joaquin County,866.1708392409404
San Luis Obispo County,98.35548339870982
San Mateo County,711.775752826
Santa Barbara County,235.39354159853605
Santa Clara County,1909.551803412901
Santa Cruz County,219.89172444
Shasta County,96.97981644357769
Sierra County,13.02091548
Siskiyou County,71.70131988
Solano County,381.4384952136042
Sonoma County,364.051085714844
Stanislaus County,523.3916100106183
Sutter County,96.48030137905776
Tehama County,54.18523841394272
Trinity County,21.652561019942862
Tulare County,353.09172173318575
Tuolumne County,55.098437164
Ventura County,731.5839631411101
Yolo County,197.36724825000002
Yuba County,75.18918882999999
Yuma County,4.24517144
