county,c_vec
 County,1.1563532637864895
Alameda County,77.0393777600876
Alpine County,0.0
Amador County,0.0
Butte County,0.1694885619516292
Calaveras County,0.0
Clark County,0.0
Colusa County,36.714879356608286
Contra Costa County,268.63994375864127
El Dorado County,2.5851753386465366
Esmeralda County,0.09978435982030673
Fresno County,75.34023761530345
Glenn County,30.169816599508536
Humboldt County,4.686709662891839
Imperial County,74.98067580898997
Inyo County,5.385973321527029
Josephine County,0.0
Kern County,699.3897856997445
Kings County,12.698868164463669
Klamath County,0.0
La Paz County,4.389755833283464
Lake County,2.686782524371614
Lassen County,0.23688060636355632
Los Angeles County,675.1378592811803
Madera County,0.0
Maricopa County,0.0
Marin County,0.0
Mariposa County,0.0
Mendocino County,4.89190396272662
Merced County,38.07379042274145
Modoc County,0.0
Mono County,0.6116629638274661
Monterey County,158.33841776715556
Municipio de Mexicali County,0.18903292487467463
Municipio de Tijuana County,7.040456161811913
Napa County,0.0
Nevada County,0.0
Orange County,18.221907116972783
Placer County,0.5473594734815421
Plumas County,0.0
Riverside County,179.86340848743762
Sacramento County,212.40234432274343
San Benito County,45.00071081538984
San Bernardino County,432.3184572811315
San Diego County,146.0020888978716
San Francisco County,0.0
San Joaquin County,160.45913192457172
San Luis Obispo County,1.7234505143069982
San Mateo County,0.0
Santa Barbara County,12.07391174105818
Santa Clara County,270.6009547118439
Santa Cruz County,0.0
Shasta County,20.681744914622616
Sierra County,0.0
Siskiyou County,0.0
Solano County,104.10581040767691
Sonoma County,8.79311416562732
Stanislaus County,104.8784625883626
Sutter County,27.962381706509014
Tehama County,2.9876124827345514
Trinity County,4.9077712247681715
Tulare County,34.27314242173369
Tuolumne County,0.0
Ventura County,45.39362006810086
Yolo County,20.652119629897342
Yuba County,0.0
Yuma County,0.0
