county,carb_emit
 County,0.0
Alameda County,5.659727149165311
Alpine County,0.0
Amador County,0.0479573629525109
Butte County,0.0
Calaveras County,0.0
Clark County,0.0
Colusa County,0.0
Contra Costa County,11.383928916037044
El Dorado County,2.9305321093729115
Esmeralda County,0.0
Fresno County,5.87401073462344
Glenn County,0.11558641839569032
Humboldt County,0.33049249467626163
Imperial County,1.6094394225973354
Inyo County,0.17675505884023188
Josephine County,0.0
Kern County,25.979893369151405
Kings County,0.0
Klamath County,0.0
La Paz County,0.11810451346727614
Lake County,0.41383524131616534
Lassen County,0.03094255149971642
Los Angeles County,36.430316398314176
Madera County,0.0
Maricopa County,0.0
Marin County,0.0
Mariposa County,0.0
Mendocino County,0.5757837971820642
Merced County,3.851091075358362
Modoc County,0.0
Mono County,0.06312411547401744
Monterey County,6.600233889622432
Municipio de Mexicali County,0.0
Municipio de Tijuana County,0.0
Napa County,1.500849492664213
Nevada County,0.0
Orange County,1.843761776476967
Placer County,0.0
Plumas County,0.0
Riverside County,15.14575997583243
Sacramento County,19.582559308182084
San Benito County,4.611816888548443
San Bernardino County,20.13381819643094
San Diego County,14.795793833851603
San Francisco County,0.0
San Joaquin County,9.250479180218505
San Luis Obispo County,0.0
San Mateo County,0.0
Santa Barbara County,0.0
Santa Clara County,8.767816287209227
Santa Cruz County,0.0
Shasta County,0.8413578485620796
Sierra County,0.0
Siskiyou County,0.5275309923284421
Solano County,3.1555476777812927
Sonoma County,2.791463066032221
Stanislaus County,7.823525680192698
Sutter County,0.0
Tehama County,0.22293243250118788
Trinity County,0.25686028456750243
Tulare County,3.7208744511169662
Tuolumne County,0.0
Ventura County,1.5971536745885302
Yolo County,0.0
Yuba County,0.0
Yuma County,0.0
