county,carb_intensity
Alameda County,0.389197172
Alpine County,0.052910566
Amador County,0.052910566
Butte County,0.752250268
Calaveras County,0.052958425
Clark County,0
Colusa County,1.2310353
Contra Costa County,0.615447447
El Dorado County,0.736678345
Esmeralda County,0.1579203
Fresno County,0.393095741
Glenn County,1.2310353
Humboldt County,1.157815242
Imperial County,0.168880918
Inyo County,0.1579203
Jackson County,1.2310353
Josephine County,0
Kern County,0.497937423
Kings County,0.022010586
Klamath County,0
La Paz County,0.1579203
Lake County,0.245682094
Lassen County,0.357220161
Los Angeles County,0.808962465
Madera County,0.248312796
Maricopa County,0
Marin County,0.289230608
Mariposa County,0.541255827
Mendocino County,0.192509408
Merced County,0.337289933
Modoc County,1.2310353
Mono County,0.1579203
Monterey County,0.679763625
Municipio de Mexicali County,0.1579203
Municipio de Tijuana County,0.442683476
Napa County,0.84234387
Nevada County,0.425737595
Orange County,0.927552128
Placer County,0.659628521
Plumas County,0.411062491
Riverside County,0.947534883
Sacramento County,1.120045497
San Benito County,1.065776463
San Bernardino County,0.980046861
San Diego County,0.739505897
San Francisco County,0.201578786
San Joaquin County,0.456825298
San Luis Obispo County,0.003200738
San Mateo County,0.169052609
Santa Barbara County,0.522806297
Santa Clara County,0.7502844
Santa Cruz County,0.157796345
Shasta County,1.159234551
Sierra County,0.503097182
Siskiyou County,1.2310353
Solano County,0.682924193
Sonoma County,0.216034879
Stanislaus County,1.015681143
Sutter County,0.67309148
Tehama County,1.2310353
Trinity County,1.16507807
Tulare County,0.433315958
Tuolumne County,0.70535989
Ventura County,0.98601091
Yolo County,0.661060211
Yuba County,0.613574883
Yuma County,0.1579203
