county,l_ren
 County,0.0
Alameda County,1101.8627015414543
Alpine County,17.7481651
Amador County,30.939589319595218
Butte County,132.940672067
Calaveras County,9.30789663
Clark County,0.0
Colusa County,27.41598536
Contra Costa County,812.4962677332968
El Dorado County,54.09202898686988
Esmeralda County,4.07449297
Fresno County,502.75328398039704
Glenn County,35.77722624035359
Humboldt County,60.802719425241655
Imperial County,65.83269920645799
Inyo County,83.69176835594257
Josephine County,0.0
Kern County,599.0298825849244
Kings County,116.520587513
Klamath County,0.0
La Paz County,0.0
Lake County,42.492071918508245
Lassen County,42.73425627789562
Los Angeles County,5550.155278392235
Madera County,74.77929003
Maricopa County,0.0
Marin County,176.47780892
Mariposa County,8.49330842
Mendocino County,51.90027214079585
Merced County,130.2618717043296
Modoc County,15.528899778000001
Mono County,3.4882558048646732
Monterey County,207.20194905648444
Municipio de Mexicali County,5.27478621
Municipio de Tijuana County,17.9363761
Napa County,94.44927687188623
Nevada County,22.493323099
Orange County,1597.5003669039763
Placer County,220.886288176
Plumas County,23.810312304
Riverside County,836.2890947256277
Sacramento County,638.9061809395126
San Benito County,3.72932168
San Bernardino County,1047.1332202717435
San Diego County,1780.410512944069
San Francisco County,403.88179365
San Joaquin County,623.910434462751
San Luis Obispo County,69.64241335515747
San Mateo County,513.684650289
Santa Barbara County,183.53404197203216
Santa Clara County,1396.0104114040348
Santa Cruz County,158.69464904
Shasta County,70.13748653196383
Sierra County,9.39712317
Siskiyou County,50.502089919547394
Solano County,293.51189912000643
Sonoma County,252.03201911142796
Stanislaus County,382.36197477785475
Sutter County,71.66144691
Tehama County,39.21107597447769
Trinity County,15.300167691063287
Tulare County,255.56614773315982
Tuolumne County,39.764239458999995
Ventura County,531.8417769552017
Yolo County,142.438859023
Yuba County,54.26362446
Yuma County,3.0637169
