county,carb_emit
 County,0.0
Alameda County,5.466516979544704
Alpine County,0.0
Amador County,0.0
Butte County,0.0
Calaveras County,0.0
Clark County,0.0
Colusa County,0.0
Contra Costa County,10.635142786441822
El Dorado County,2.3255718971656547
Esmeralda County,0.0
Fresno County,5.693189429850477
Glenn County,0.117151498584819
Humboldt County,0.4407539843103434
Imperial County,1.563858578033097
Inyo County,0.16196087422167654
Josephine County,0.0
Kern County,24.18733081205581
Kings County,0.0
Klamath County,0.0
La Paz County,0.11838543047753959
Lake County,0.3795234295289668
Lassen County,0.02883165470830999
Los Angeles County,34.41468161737417
Madera County,0.0
Maricopa County,0.0
Marin County,0.0
Mariposa County,0.0
Mendocino County,0.5288888955717439
Merced County,3.4074211816133584
Modoc County,0.0
Mono County,0.058817796569695054
Monterey County,6.211243166520795
Municipio de Mexicali County,0.0
Municipio de Tijuana County,0.0
Napa County,1.779237578599617
Nevada County,0.0
Orange County,1.7182477483375527
Placer County,0.0
Plumas County,0.0
Riverside County,14.223849876078036
Sacramento County,18.340236725454968
San Benito County,4.613591343454027
San Bernardino County,19.014863509132113
San Diego County,13.692109793251154
San Francisco County,0.0
San Joaquin County,8.73208538008789
San Luis Obispo County,0.0
San Mateo County,0.0
Santa Barbara County,0.0
Santa Clara County,8.166778267876172
Santa Cruz County,0.0
Shasta County,0.969345078634327
Sierra County,0.0
Siskiyou County,0.0
Solano County,2.9166561516931115
Sonoma County,2.528985297632437
Stanislaus County,7.294642373684419
Sutter County,0.0
Tehama County,0.28633050355924067
Trinity County,0.30208223813830587
Tulare County,3.496975138148143
Tuolumne County,0.0
Ventura County,1.490266364021794
Yolo County,0.0
Yuba County,0.0
Yuma County,0.0
