,bus_i,l_ren,c_vec,county,carb_inten_no_renew,pd,kV,carb_inten_inc_all,Type,Import,Lat,Lon
0,1,32.6267421,0.0,Alameda County,0.0,9.72175259,115,0.0,'Substation',' ',37.77243572,-122.2429162
1,2,7.02455798,0.0,Alameda County,0.0,2.09309941,66,0.0,'Substation',' ',37.77848161,-121.6259513
2,3,0.0,0.0,Alameda County,0.0,0.0,66,0.0,'Substation',' ',37.7483765,-121.6772083
3,4,13.134158,0.0,Alameda County,0.0,3.91356987,230,0.0,'Substation',' ',37.69128098,-122.0612774
4,5,66.8157564,0.0,Alameda County,0.0,19.9090136,115,0.0,'Substation',' ',37.59578193,-122.0174353
5,6,-0.605427164869586,0.0,Trinity County,0.15792029999999999,0.0,66,0.0,'Substation',' ',40.09403073,-123.5091868
6,7,74.966168,0.0,Alameda County,0.0,22.3375823,115,0.0,'Substation',' ',37.55699202,-122.05794
7,8,37.8879299,0.0,Alameda County,0.0,11.2894226,115,0.0,'Substation',' ',37.73868954,-122.1937991
8,9,4.67947688,0.0,Alameda County,0.0,1.39433831,115,0.0,'Substation',' ',37.49369132,-121.9394285
9,10,14.361864,0.0,Alameda County,0.0,4.27938798,115,0.0,'Substation',' ',37.67126804,-122.1595387
10,11,3.62343677,0.0,Alameda County,0.0,1.07967126,115,0.0,'Substation',' ',37.876174,-122.245764
11,12,3.37682662,0.0,Alameda County,0.0,1.00618912,66,0.0,'Substation',' ',37.66794608,-121.8318768
12,13,20.2340199,0.0,Alameda County,0.0,6.02910748,115,0.0,'Substation',' ',37.59531056,-122.0174915
13,14,22.1975096,0.0,Alameda County,0.0,6.61416625,66,0.0,'Substation',' ',37.70853376,-121.9070045
14,15,14.3849842,0.0,Alameda County,0.0,4.28627708,66,0.0,'Substation',' ',37.68002781,-121.7805048
15,16,12.9763782,0.0,Alameda County,0.0,3.86655639,66,0.0,'Substation',' ',37.71164362,-121.8938504
16,17,26.7860263,0.0,Alameda County,0.0,7.98140124,66,0.0,'Substation',' ',37.67255501,-121.859528
17,18,0.0,0.0,Alameda County,0.0,0.0,230,0.0,'Substation',' ',37.79905699,-121.6199438
18,19,27.1935255,0.0,Alameda County,0.0,8.10282331,115,0.0,'Substation',' ',37.71062477,-122.1481883
19,20,41.8780722,0.0,Alameda County,0.0,12.4783607,115,0.0,'Substation',' ',37.76299826,-122.2144948
